,iso3,ISO_A3,ISO_N3,name_abbrev,GEOUNIT,NAME_LONG,population,DTP1-16,name,id,lat,lon,amt,amt_refugee
176,SSD,SSD,728.0,S. Sud.,South Sudan,South Sudan,5281920.0,35.0,South Sudan,728.0,,,188.0,747987
177,SEN,SEN,686.0,Sen.,Senegal,Senegal,6815930.0,96.0,Senegal,686.0,,,75.25,1316000
178,SGP,SGP,702.0,Sing.,Singapore,Singapore,856350.0,98.0,Singapore,702.0,1.3,103.8,184.0,725970
179,SLB,SLB,90.0,S. Is.,Solomon Islands,Solomon Islands,238290.0,99.0,Solomon Islands,90.0,,,28.25,21974430
180,SLV,SLV,222.0,El. S.,El Salvador,El Salvador,1722060.0,97.0,El Salvador,222.0,,,93.5,945450
181,SMR,SMR,674.0,S.M.,San Marino,San Marino,,78.0,San Marino,674.0,43.933,12.467,160.0,-
182,SOM,-99,-99.0,Solnd.,Somaliland,Somaliland,6781780.0,52.0,Somaliland,-3.0,,,114.5,"7,692,300"
183,SOM,-99,-99.0,Punt.,Puntland,Puntland,6781780.0,52.0,,,,,,
184,SOM,-99,-99.0,Som.,Somalia,Somalia,6781780.0,52.0,Somalia,706.0,,,69.0,11300000
185,STP,STP,678.0,S.T.P.,Sao Tome and Principe,São Tomé and Principe,87720.0,97.0,São Tomé and Príncipe,678.0,0.333,6.733,82.25,20574240
186,SUR,SUR,740.0,Sur.,Suriname,Suriname,146380.0,92.0,Suriname,740.0,,,114.5,65
187,SVK,SVK,703.0,Svk.,Slovakia,Slovakia,817200.0,99.0,Slovakia,703.0,,,247.75,99360
188,SVN,SVN,705.0,Slo.,Slovenia,Slovenia,312000.0,98.0,Slovenia,705.0,,,63.25,8953560
189,SWE,SWE,752.0,Swe.,Sweden,Sweden,1783980.0,99.0,Sweden,752.0,,,48.75,28
190,SWZ,SWZ,748.0,Swz.,Swaziland,Swaziland,505790.0,96.0,Swaziland,748.0,,,32.0,332
191,SYC,SYC,690.0,Syc.,Seychelles,Seychelles,20900.0,98.0,Seychelles,690.0,-4.617,55.45,228.0,25789500
192,SYR,-99,-99.0,DOF,UNDOF,UNDOF Zone,6759900.0,61.0,,,,,,
193,SYR,SYR,760.0,Syria,Syria,Syrian Arab Republic,6759900.0,61.0,Syria,760.0,,,145.75,4285305
194,TCD,TCD,148.0,Chad,Chad,Chad,7003000.0,60.0,Chad,148.0,,,236.25,1837600
195,TGO,TGO,768.0,Togo,Togo,Togo,3275160.0,93.0,Togo,768.0,,,193.75,11100
196,THA,THA,764.0,Thai.,Thailand,Thailand,11736460.0,99.0,Thailand,764.0,,,87.75,909
197,TJK,TJK,762.0,Tjk.,Tajikistan,Tajikistan,3122350.0,98.0,Tajikistan,762.0,,,194.25,1762
198,TKM,TKM,795.0,Turkm.,Turkmenistan,Turkmenistan,1784980.0,99.0,Turkmenistan,795.0,,,224.75,1519
199,TLS,TLS,626.0,T.L.,East Timor,Timor-Leste,570240.0,95.0,East Timor,626.0,,,138.0,883680
200,TON,TON,776.0,Tongo,Tonga,Tonga,38880.0,83.0,Tonga,776.0,-21.133,-175.2,182.5,100
201,TTO,TTO,780.0,Tr.T.,Trinidad and Tobago,Trinidad and Tobago,287490.0,97.0,Trinidad and Tobago,780.0,,,89.0,543
202,TUN,TUN,788.0,Tun.,Tunisia,Tunisia,2767680.0,99.0,Tunisia,788.0,,,50.25,3536
203,TUR,TUR,792.0,Tur.,Turkey,Turkey,20186250.0,99.0,Turkey,792.0,,,68.0,73306
