,unicef_region,iso3,country,GDP,2016,1996,1986,Pop % under 14,Pop # under 14
144,Latin America & Caribbean,LCA,Saint Lucia,"1,379",95.0,96.0,92.0,19.0,34010.0
145,Latin America & Caribbean,VCT,Saint Vincent and The Grenadines,771,99.0,99.0,98.0,24.0,26400.0
146,East Asia & Pacific,WSM,Samoa,786,95.0,98.0,97.0,37.0,72520.0
147,Western Europe,SMR,San Marino, .. ,78.0,99.0,99.0,,
148,West & Central Africa,STP,Sao Tome and Principe,351,97.0,87.0,85.0,43.0,87720.0
149,Middle East & North Africa,SAU,Saudi Arabia,"646,438",98.0,97.0,95.0,25.0,8234500.0
150,West & Central Africa,SEN,Senegal,"14,765",96.0,88.0,77.0,43.0,6815930.0
151,Eastern Europe & Central Asia,SRB,Serbia,"37,745",97.0,97.0,,16.0,1406560.0
152,Eastern & Southern Africa,SYC,Seychelles,"1,427",98.0,99.0,97.0,22.0,20900.0
153,West & Central Africa,SLE,Sierra Leone,"3,669",97.0,,,42.0,3173940.0
154,East Asia & Pacific,SGP,Singapore,"296,966",98.0,94.0,97.0,15.0,856350.0
155,Western Europe,SVK,Slovakia,"89,552",99.0,99.0,,15.0,817200.0
156,Western Europe,SVN,Slovenia,"43,991",98.0,98.0,,15.0,312000.0
157,East Asia & Pacific,SLB,Solomon Islands,"1,202",99.0,89.0,67.0,39.0,238290.0
158,Eastern & Southern Africa,SOM,Somalia,"6,217",52.0,45.0,40.0,46.0,6781780.0
159,Eastern & Southern Africa,ZAF,South Africa,"294,841",78.0,90.0,88.0,29.0,16447930.0
160,Eastern & Southern Africa,SSD,South Sudan,"9,015",35.0,,,42.0,5281920.0
161,Western Europe,ESP,Spain,"1,232,088",99.0,96.0,96.0,15.0,6953100.0
162,South Asia,LKA,Sri Lanka,"81,322",99.0,97.0,91.0,24.0,5010480.0
163,Middle East & North Africa,PSE,State of Palestine,"13,397",99.0,98.0,,40.0,1968400.0
164,Eastern & Southern Africa,SDN,Sudan,"95,584",97.0,79.0,36.0,41.0,16618530.0
165,Latin America & Caribbean,SUR,Suriname,"3,621",92.0,93.0,93.0,26.0,146380.0
166,Eastern & Southern Africa,SWZ,Swaziland,"3,727",96.0,94.0,90.0,37.0,505790.0
167,Western Europe,SWE,Sweden,"511,000",99.0,99.0,99.0,18.0,1783980.0
168,Western Europe,CHE,Switzerland,"659,827",99.0,93.0,96.0,15.0,1271400.0
169,Middle East & North Africa,SYR,Syrian Arab Republic, .. ,61.0,96.0,90.0,37.0,6759900.0
170,Eastern Europe & Central Asia,TJK,Tajikistan,"6,952",98.0,80.0,,35.0,3122350.0
171,East Asia & Pacific,THA,Thailand,"406,840",99.0,97.0,86.0,17.0,11736460.0
172,Eastern Europe & Central Asia,MKD,The former Yugoslav Republic of Macedonia,"10,900",97.0,97.0,,17.0,354110.0
173,East Asia & Pacific,TLS,Timor-Leste,"1,442",95.0,,,44.0,570240.0
174,West & Central Africa,TGO,Togo,"4,400",93.0,70.0,59.0,42.0,3275160.0
175,East Asia & Pacific,TON,Tonga,395,83.0,99.0,91.0,36.0,38880.0
176,Latin America & Caribbean,TTO,Trinidad and Tobago,"20,989",97.0,96.0,88.0,21.0,287490.0
177,Middle East & North Africa,TUN,Tunisia,"42,063",99.0,98.0,89.0,24.0,2767680.0
178,Eastern Europe & Central Asia,TUR,Turkey,"857,749",99.0,89.0,70.0,25.0,20186250.0
179,Eastern Europe & Central Asia,TKM,Turkmenistan,"36,180",99.0,98.0,,31.0,1784980.0
180,East Asia & Pacific,TUV,Tuvalu,34,99.0,98.0,90.0,,
181,Eastern & Southern Africa,UGA,Uganda,"25,528",89.0,80.0,45.0,48.0,20574240.0
182,Eastern Europe & Central Asia,UKR,Ukraine,"93,270",42.0,99.0,,15.0,6633450.0
183,Middle East & North Africa,ARE,United Arab Emirates,"348,743",99.0,96.0,92.0,14.0,1316000.0
184,Western Europe,GBR,United Kingdom of Great Britain and Northern Ireland,"2,618,886",98.0,97.0,86.0,18.0,11912760.0
185,Eastern & Southern Africa,TZA,United Republic of Tanzania,"47,431",99.0,94.0,90.0,45.0,25789500.0
186,North America,USA,United States of America,"18,569,100",97.0,98.0,98.0,19.0,61647210.0
187,Latin America & Caribbean,URY,Uruguay,"52,420",97.0,97.0,88.0,21.0,725970.0
188,Eastern Europe & Central Asia,UZB,Uzbekistan,"67,220",99.0,98.0,,28.0,8935080.0
189,East Asia & Pacific,VUT,Vanuatu,774,75.0,86.0,56.0,36.0,99360.0
190,Latin America & Caribbean,VEN,Venezuela (Bolivarian Republic of), .. ,98.0,80.0,80.0,28.0,8953560.0
191,East Asia & Pacific,VNM,Viet Nam,"202,616",96.0,97.0,68.0,23.0,21974430.0
192,Middle East & North Africa,YEM,Yemen,"27,318",76.0,72.0,35.0,40.0,11300000.0
193,Eastern & Southern Africa,ZMB,Zambia,"19,551",99.0,94.0,86.0,45.0,7692300.0
194,Eastern & Southern Africa,ZWE,Zimbabwe,"16,289",94.0,96.0,91.0,41.0,6777300.0
