,ISO_A3,ADM0_DIF,LEVEL,ADM0_A3,ADM0_A3_IS,GU_A3,ISO_N3,TYPE,GEOUNIT,ABBREV,NAME,NAME_LONG,ISOA3_GUA3
139,KHM,0.0,2.0,KHM,KHM,KHM,116,Sovereign country,Cambodia,Camb.,Cambodia,Cambodia,KHM
140,KIR,0.0,2.0,KIR,KIR,KIR,296,Sovereign country,Kiribati,Kir.,Kiribati,Kiribati,KIR
141,KNA,0.0,2.0,KNA,KNA,KNA,659,Sovereign country,Saint Kitts and Nevis,St.K.N.,St. Kitts and Nevis,Saint Kitts and Nevis,KNA
142,-99,0.0,3.0,KOR,-99,KNX,-99,Overlay,Korean Demilitarized Zone (south),DMZ South,Korean DMZ (south),Korean DMZ (south),KOR
143,-99,0.0,3.0,PRK,-99,KNZ,-99,Overlay,Korean Demilitarized Zone (north),DMZ North,Korean DMZ (north),Korean DMZ (north),PRK
144,KOR,0.0,2.0,KOR,KOR,KOR,410,Sovereign country,South Korea,S.K.,Korea,Republic of Korea,KOR
145,-99,0.0,2.0,KOS,SRB,KOS,-99,Sovereign country,Kosovo,Kos.,Kosovo,Kosovo,SRB
146,-99,1.0,3.0,UMI,KQI,KQI,-99,Geo unit,Kingman Reef,King. Rf.,Kingman Reef,Kingman Reef,KQI
147,KWT,0.0,2.0,KWT,KWT,KWT,414,Sovereign country,Kuwait,Kwt.,Kuwait,Kuwait,KWT
148,LAO,0.0,2.0,LAO,LAO,LAO,418,Sovereign country,Laos,Laos,Lao PDR,Lao PDR,LAO
149,LBN,0.0,2.0,LBN,LBN,LBN,422,Sovereign country,Lebanon,Leb.,Lebanon,Lebanon,LBN
150,LBR,0.0,2.0,LBR,LBR,LBR,430,Sovereign country,Liberia,Liberia,Liberia,Liberia,LBR
151,LBY,0.0,2.0,LBY,LBY,LBY,434,Sovereign country,Libya,Libya,Libya,Libya,LBY
152,LCA,0.0,2.0,LCA,LCA,LCA,662,Sovereign country,Saint Lucia,S.L.,Saint Lucia,Saint Lucia,LCA
153,LIE,0.0,2.0,LIE,LIE,LIE,438,Sovereign country,Liechtenstein,Liech.,Liechtenstein,Liechtenstein,LIE
154,LKA,0.0,2.0,LKA,LKA,LKA,144,Sovereign country,Sri Lanka,Sri L.,Sri Lanka,Sri Lanka,LKA
155,-99,1.0,3.0,UMI,LQI,LQI,-99,Geo unit,Palmyra Atoll,Palm. At.,Palmyra Atoll,Palmyra Atoll,LQI
156,LSO,0.0,2.0,LSO,LSO,LSO,426,Sovereign country,Lesotho,Les.,Lesotho,Lesotho,LSO
157,LTU,0.0,2.0,LTU,LTU,LTU,440,Sovereign country,Lithuania,Lith.,Lithuania,Lithuania,LTU
158,LUX,0.0,2.0,LUX,LUX,LUX,442,Sovereign country,Luxembourg,Lux.,Luxembourg,Luxembourg,LUX
159,LVA,0.0,2.0,LVA,LVA,LVA,428,Sovereign country,Latvia,Lat.,Latvia,Latvia,LVA
160,MAC,1.0,2.0,MAC,MAC,MAC,446,Country,Macao S.A.R,Mac.,Macao,Macao,MAC
161,MAF,1.0,2.0,MAF,MAF,MAF,663,Dependency,Saint Martin,St. M.,St-Martin,Saint-Martin,MAF
162,MAR,0.0,2.0,MAR,MAR,MAR,504,Sovereign country,Morocco,Mor.,Morocco,Morocco,MAR
163,MCO,0.0,2.0,MCO,MCO,MCO,492,Sovereign country,Monaco,Mco.,Monaco,Monaco,MCO
164,MDA,0.0,2.0,MDA,MDA,MDA,498,Sovereign country,Moldova,Mda.,Moldova,Moldova,MDA
165,MDG,0.0,2.0,MDG,MDG,MDG,450,Sovereign country,Madagascar,Mad.,Madagascar,Madagascar,MDG
166,MDV,0.0,2.0,MDV,MDV,MDV,462,Sovereign country,Maldives,Mald.,Maldives,Maldives,MDV
167,MEX,0.0,2.0,MEX,MEX,MEX,484,Sovereign country,Mexico,Mex.,Mexico,Mexico,MEX
168,MHL,0.0,2.0,MHL,MHL,MHL,584,Sovereign country,Marshall Islands,M. Is.,Marshall Is.,Marshall Islands,MHL
169,MKD,0.0,2.0,MKD,MKD,MKD,807,Sovereign country,Macedonia,Mkd.,Macedonia,Macedonia,MKD
