unicef_region,iso3,country,vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Latin America & Caribbean,PAN,Panama,Hib3,73,73,80,80,85,87,94,85,86,85,88,92,95,98,99,99,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PNG,Papua New Guinea,Hib3,72,73,73,79,74,72,67,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PRY,Paraguay,Hib3,93,93,87,86,87,89,89,85,87,88,92,93,92,86,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PER,Peru,Hib3,89,90,88,88,95,91,93,93,93,93,94,94,96,41,40,38,43,28,12,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PHL,Philippines,Hib3,86,60,67,89,22,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,POL,Poland,Hib3,98,98,98,99,99,99,99,99,98,88,31,22,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,PRT,Portugal,Hib3,98,98,98,98,98,97,97,96,97,97,97,93,95,99,94,90,86,91,95,,,,,,,,,,,,,,,,,,
Middle East & North Africa,QAT,Qatar,Hib3,98,99,89,93,97,93,97,99,97,94,96,97,96,92,96,93,80,92,94,92,,,,,,,,,,,,,,,,,
East Asia & Pacific,KOR,Republic of Korea,Hib3,98,98,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MDA,Republic of Moldova,Hib3,89,86,89,89,90,78,63,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ROU,Romania,Hib3,89,89,90,91,92,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,RUS,Russian Federation,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,RWA,Rwanda,Hib3,98,98,98,98,98,97,97,97,97,97,99,95,89,96,88,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,KNA,Saint Kitts and Nevis,Hib3,98,94,98,97,98,98,96,97,97,99,99,99,95,99,95,99,12,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCA,Saint Lucia,Hib3,95,99,99,99,98,99,97,95,96,99,85,95,91,84,14,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,VCT,Saint Vincent and The Grenadines,Hib3,99,99,98,98,97,96,99,99,99,99,99,99,99,27,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,WSM,Samoa,Hib3,55,59,56,60,64,56,52,37,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SMR,San Marino,Hib3,65,75,79,69,96,85,78,92,87,92,95,94,98,96,95,93,92,95,92,88,84,80,76,72,69,65,,,,,,,,,,,
West & Central Africa,STP,Sao Tome and Principe,Hib3,96,96,95,97,96,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,SAU,Saudi Arabia,Hib3,98,98,98,98,98,98,98,98,98,96,96,96,96,95,95,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,SEN,Senegal,Hib3,93,89,89,92,91,92,89,86,88,94,89,18,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,SRB,Serbia,Hib3,92,95,94,92,90,93,91,94,98,89,42,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SYC,Seychelles,Hib3,96,97,99,98,98,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,SLE,Sierra Leone,Hib3,84,86,83,92,91,89,86,84,77,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,SGP,Singapore,Hib3,96,96,86,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SVK,Slovakia,Hib3,96,96,97,98,99,99,99,99,99,99,99,99,99,99,92,70,59,47,36,30,3,,,,,,,,,,,,,,,,
Western Europe,SVN,Slovenia,Hib3,94,95,95,95,96,96,96,96,97,97,97,95,94,95,93,93,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,SLB,Solomon Islands,Hib3,99,98,88,94,99,99,90,92,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SOM,Somalia,Hib3,42,42,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ZAF,South Africa,Hib3,66,75,77,73,65,69,72,77,80,84,84,82,75,69,70,71,73,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SSD,South Sudan,Hib3,26,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,ESP,Spain,Hib3,97,97,96,96,97,97,97,96,97,96,98,96,97,98,97,96,92,82,82,,,,,,,,,,,,,,,,,,
South Asia,LKA,Sri Lanka,Hib3,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,PSE,State of Palestine,Hib3,99,99,99,99,97,99,99,97,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SDN,Sudan,Hib3,93,93,94,93,92,93,75,72,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,SUR,Suriname,Hib3,91,89,85,86,84,86,86,87,84,84,84,83,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SWZ,Swaziland,Hib3,90,90,98,98,95,91,89,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SWE,Sweden,Hib3,98,98,98,98,98,98,98,98,98,98,98,98,99,99,98,98,98,98,99,99,99,99,99,99,90,55,,,,,,,,,,,
Western Europe,CHE,Switzerland,Hib3,97,97,95,95,95,95,95,95,95,93,93,93,91,91,91,91,91,91,77,,,,,,,,,,,,,,,,,,
Middle East & North Africa,SYR,Syrian Arab Republic,Hib3,42,41,43,41,45,72,80,80,79,80,80,80,81,82,83,84,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,TJK,Tajikistan,Hib3,97,96,97,96,94,96,93,93,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,THA,Thailand,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MKD,The former Yugoslav Republic of Macedonia,Hib3,94,89,94,97,95,96,89,82,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,TLS,Timor-Leste,Hib3,85,76,77,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,TGO,Togo,Hib3,89,88,87,84,84,85,83,78,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,TON,Tonga,Hib3,78,78,80,82,77,82,81,81,81,82,82,82,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,TTO,Trinidad and Tobago,Hib3,97,90,92,92,92,90,90,90,90,88,89,95,94,92,59,85,74,49,8,,,,,,,,,,,,,,,,,,
Middle East & North Africa,TUN,Tunisia,Hib3,98,98,98,98,97,43,,,,,,80,97,96,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,TUR,Turkey,Hib3,98,97,96,98,97,97,97,96,96,76,,,,,,,,,,,,,,,,,,,,,,,,,,,
