unicef_region,iso3,country,vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
South Asia,LKA,Sri Lanka,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,PSE,State of Palestine,HepB_BD,99,99,99,97,97,96,96,95,95,99,99,98,97,95,93,94,95,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SDN,Sudan,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,SUR,Suriname,HepB_BD,65,65,64,45,51,46,41,36,69,67,64,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SWZ,Swaziland,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SWE,Sweden,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,CHE,Switzerland,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,SYR,Syrian Arab Republic,HepB_BD,69,69,78,81,81,89,97,95,93,93,91,90,90,90,90,89,91,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,TJK,Tajikistan,HepB_BD,92,95,98,98,98,98,96,97,85,83,94,98,90,77,80,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,THA,Thailand,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MKD,The former Yugoslav Republic of Macedonia,HepB_BD,98,98,98,98,99,97,95,93,92,90,88,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,TLS,Timor-Leste,HepB_BD,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,TGO,Togo,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,TON,Tonga,HepB_BD,80,81,89,89,84,89,88,88,88,89,89,89,89,89,88,89,89,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,TTO,Trinidad and Tobago,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,TUN,Tunisia,HepB_BD,85,88,80,82,73,80,82,88,92,89,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,TUR,Turkey,HepB_BD,99,99,99,99,97,97,97,96,96,96,95,94,88,78,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,TKM,Turkmenistan,HepB_BD,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,TUV,Tuvalu,HepB_BD,99,98,99,97,99,98,99,99,99,99,99,99,91,90,83,92,99,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,UGA,Uganda,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,UKR,Ukraine,HepB_BD,37,57,57,51,51,53,64,73,82,89,88,96,99,85,70,34,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,ARE,United Arab Emirates,HepB_BD,99,96,91,96,96,97,98,98,98,98,98,98,98,98,98,98,98,,,,,,,,,,,,,,,,,,,,
Western Europe,GBR,United Kingdom of Great Britain and Northern Ireland,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,TZA,United Republic of Tanzania,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,USA,United States of America,HepB_BD,64,72,72,74,72,69,64,61,55,53,50,50,48,39,21,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,URY,Uruguay,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,UZB,Uzbekistan,HepB_BD,99,99,99,99,99,99,48,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,VUT,Vanuatu,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,VEN,Venezuela (Bolivarian Republic of),HepB_BD,56,64,72,80,67,78,73,66,73,64,61,63,57,44,34,35,14,,,,,,,,,,,,,,,,,,,,
